state,year,urate,children,nonwhite,finc,earn,age,ed,work,unearn,dkids,dpost,dkidsdpost,onekid,twokid,onepost,twopost,dpost92,dkidpost92
11,1991,7.599999905,0,1,18714.39427,18714.39427,26,10,1,0,0,0,0,0,0,0,0,0,0
12,1991,7.199999809,1,0,4838.568282,471.3656388,22,9,1,4.367202643,1,0,0,1,0,0,0,0,0
13,1991,6.400000095,2,0,8178.193833,0,33,11,0,8.178193833,1,0,0,0,1,0,0,0,0
14,1991,9.100000381,0,1,9369.570485,0,43,11,0,9.369570485,0,0,0,0,0,0,0,0,0
15,1991,8.600000381,3,1,14706.60793,14706.60793,23,7,1,0,1,0,0,0,1,0,0,0,0
16,1991,6.800000191,1,0,21605.04405,18854.62555,53,7,1,2.750418502,1,0,0,1,0,0,0,0,0
21,1991,7.300000191,0,1,19146.87225,14140.96916,52,11,1,5.005903084,0,0,0,0,0,0,0,0,0
22,1991,6.699999809,0,1,64311.94934,63802.87445,51,11,1,0.50907489,0,0,0,0,0,0,0,0,0
23,1991,7,1,1,17676.21145,17676.21145,20,11,1,0,1,0,0,1,0,0,0,0,0
31,1991,6.400000095,2,1,12214.26212,2358.006608,32,11,1,9.856255507,1,0,0,0,1,0,0,0,0
32,1991,6,0,0,47475.94714,47136.56388,51,9,1,0.33938326,0,0,0,0,0,0,0,0,0
33,1991,7.199999809,2,0,12962.55507,4713.656388,29,10,1,8.248898678,1,0,0,0,1,0,0,0,0
34,1991,9.300000191,0,0,7070.484582,0,54,9,0,7.070484582,0,0,0,0,0,0,0,0,0
35,1991,5.5,0,0,0,0,28,11,0,0,0,0,0,0,0,0,0,0,0
41,1991,5.099999905,0,1,3605.947137,0,27,11,0,3.605947137,0,0,0,0,0,0,0,0,0
42,1991,4.599999905,1,0,6223.204846,0,37,7,0,6.223204846,1,0,0,1,0,0,0,0,0
43,1991,6.699999809,1,0,15814.31718,0,41,10,0,15.81431718,1,0,0,1,0,0,0,0,0
44,1991,4.300000191,0,0,21211.45374,21211.45374,45,9,1,0,0,0,0,0,0,0,0,0,0
45,1991,3.599999905,0,0,13858.14978,10558.59031,51,7,1,3.299559471,0,0,0,0,0,0,0,0,0
46,1991,2.799999952,0,0,5038.898678,5038.898678,43,10,1,0,0,0,0,0,0,0,0,0,0
47,1991,4.5,1,0,5185.022026,2356.828194,24,11,1,2.828193833,1,0,0,1,0,0,0,0,0
51,1991,6.300000191,1,0,0,0,24,11,0,0,1,0,0,1,0,0,0,0,0
52,1991,6,3,0,7056.343612,0,38,9,0,7.056343612,1,0,0,0,1,0,0,0,0
53,1991,7.800000191,2,1,23488.14978,21918.5022,38,10,1,1.569647577,1,0,0,0,1,0,0,0,0
54,1991,5.900000095,4,1,5797.797357,0,26,11,0,5.797797357,1,0,0,0,1,0,0,0,0
55,1991,10.60000038,1,0,13845.18723,7924.834802,46,9,1,5.920352423,1,0,0,1,0,0,0,0,0
56,1991,5.800000191,1,1,15319.38326,15319.38326,41,11,1,0,1,0,0,1,0,0,0,0,0
57,1991,6.300000191,1,1,2743.348018,0,20,11,0,2.743348018,1,0,0,1,0,0,0,0,0
58,1991,5,1,1,15114.33921,14494.49339,37,11,1,0.619845815,1,0,0,1,0,0,0,0,0
59,1991,7.400000095,0,0,16497.79736,16497.79736,46,11,1,0,0,0,0,0,0,0,0,0,0
61,1991,7.5,2,0,3224.140969,0,46,7,0,3.224140969,1,0,0,0,1,0,0,0,0
62,1991,6.699999809,0,1,20992.26872,20033.03965,53,3,0,0.959229075,0,0,0,0,0,0,0,0,0
63,1991,7.199999809,2,1,11312.77533,8955.947137,42,11,1,2.356828194,1,0,0,0,1,0,0,0,0
64,1991,8.699999809,0,0,14169.2511,14140.96916,36,11,1,0.028281938,0,0,0,0,0,0,0,0,0
71,1991,7.400000095,1,0,4963.480176,3087.444934,45,7,1,1.876035242,1,0,0,1,0,0,0,0,0
72,1991,7.199999809,0,1,4713.656388,3299.559471,39,11,1,1.414096916,0,0,0,0,0,0,0,0,0
73,1991,6.699999809,0,1,1343.392071,0,41,7,0,1.343392071,0,0,0,0,0,0,0,0,0
74,1991,6.699999809,0,1,3588.270925,3588.270925,52,0,1,0,0,0,0,0,0,0,0,0,0
81,1991,7.099999905,2,0,13886.43172,0,33,9,0,13.88643172,1,0,0,0,1,0,0,0,0
82,1991,6.199999809,0,1,33409.21806,32288.54626,50,7,1,1.120671806,0,0,0,0,0,0,0,0,0
83,1991,5.199999809,1,1,4619.38326,2356.828194,49,9,1,2.262555066,1,0,0,1,0,0,0,0,0
84,1991,5.099999905,0,0,23568.28194,23568.28194,51,0,1,0,0,0,0,0,0,0,0,0,0
85,1991,7.099999905,0,1,0,0,27,11,0,0,0,0,0,0,0,0,0,0,0
86,1991,5.800000191,0,1,10900.3304,0,54,7,0,10.9003304,0,0,0,0,0,0,0,0,0
87,1991,5,3,1,6881.938326,0,21,10,0,6.881938326,1,0,0,0,1,0,0,0,0
88,1991,5.599999905,0,0,824.8898678,824.8898678,34,11,1,0,0,0,0,0,0,0,0,0,0
91,1991,6.400000095,0,0,8390.30837,4713.656388,54,9,1,3.676651982,0,0,0,0,0,0,0,0,0
92,1991,6.099999905,3,0,8343.171806,0,31,11,0,8.343171806,1,0,0,0,1,0,0,0,0
93,1991,7.699999809,1,1,7466.431718,0,46,7,0,7.466431718,1,0,0,1,0,0,0,0,0
94,1991,8.699999809,0,0,31784.18502,353.5242291,45,7,0,31.43066079,0,0,0,0,0,0,0,0,0
95,1991,2.799999952,0,0,9193.986784,9191.629956,45,3,1,0.002356828,0,0,0,0,0,0,0,0,0
11,1992,7.199999809,0,0,19459.05203,19447.61226,32,11,1,0.011439772,0,0,0,0,0,0,0,0,0
12,1992,7.5,1,0,0,0,27,10,0,0,1,0,0,1,0,0,0,0,0
13,1992,6.699999809,2,0,68779.3407,68753.02922,43,9,1,0.026311475,1,0,0,0,1,0,0,0,0
14,1992,8.600000381,3,0,2070.598717,2059.158945,31,7,1,0.011439772,1,0,0,0,1,0,0,0,0
15,1992,9,2,0,24463.95225,20339.91447,35,10,1,4.124037776,1,0,0,0,1,0,0,0,0
16,1992,7.599999905,0,0,36804.03421,32603.34996,52,10,1,4.200684248,0,0,0,0,0,0,0,0,0
21,1992,8.600000381,0,1,11105.73058,0,22,11,0,11.10573058,0,0,0,0,0,0,0,0,0
22,1992,8.5,0,1,31739.64719,25049.66857,47,7,0,6.689978617,0,0,0,0,0,0,0,0,0
23,1992,7.599999905,2,0,39471.78902,24481.1119,41,7,1,14.99067712,1,0,0,0,1,0,0,0,0
31,1992,7.300000191,1,0,11439.77192,11439.77192,27,9,1,0,1,0,0,1,0,0,0,0,0
32,1992,6.599999905,0,0,49733.26443,49733.26443,25,11,1,0,0,0,0,0,0,0,0,0,0
33,1992,7.599999905,0,1,21689.80756,21689.80756,24,11,1,0,0,0,0,0,0,0,0,0,0
34,1992,8.899999619,0,0,4475.238774,0,21,11,0,4.475238774,0,0,0,0,0,0,0,0,0
35,1992,5.199999809,1,1,25626.23307,0,52,9,0,25.62623307,1,0,0,1,0,0,0,0,0
41,1992,5.199999809,0,1,276.8424804,203.6279401,23,11,1,0.07321454,0,0,0,0,0,0,0,0,0
