year,origin,destin,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
1997,"""AKRON, OH""","""ATLANTA, GA""",1,528,152,106,0.8386,6.269096,0,0,0,4.663439,39.30157,0.8386,5.02388
1998,"""AKRON, OH""","""ATLANTA, GA""",1,528,265,106,0.8133,6.269096,1,0,0,4.663439,39.30157,0.8133,5.57973
1999,"""AKRON, OH""","""ATLANTA, GA""",1,528,336,113,0.8262,6.269096,0,1,0,4.727388,39.30157,0.8262,5.817111
2000,"""AKRON, OH""","""ATLANTA, GA""",1,528,298,123,0.8612,6.269096,0,0,1,4.812184,39.30157,0.8612,5.697093
1997,"""AKRON, OH""","""ORLANDO, FL""",2,861,282,104,0.5798,6.758094,0,0,0,4.644391,45.67184,0.5798,5.641907
1998,"""AKRON, OH""","""ORLANDO, FL""",2,861,178,105,0.5817,6.758094,1,0,0,4.65396,45.67184,0.5817,5.181784
1999,"""AKRON, OH""","""ORLANDO, FL""",2,861,204,115,0.7319,6.758094,0,1,0,4.744932,45.67184,0.7319,5.31812
2000,"""AKRON, OH""","""ORLANDO, FL""",2,861,190,129,0.5386,6.758094,0,0,1,4.859812,45.67184,0.5386,5.247024
1997,"""ALBANY, NY""","""ATLANTA, GA""",3,852,241,207,0.818,6.747587,0,0,0,5.332719,45.52993,0.818,5.484797
1998,"""ALBANY, NY""","""ATLANTA, GA""",3,852,253,188,0.8172,6.747587,1,0,0,5.236442,45.52993,0.8172,5.53339
1999,"""ALBANY, NY""","""ATLANTA, GA""",3,852,244,229,0.7998,6.747587,0,1,0,5.433722,45.52993,0.7998,5.497168
2000,"""ALBANY, NY""","""ATLANTA, GA""",3,852,244,247,0.7097,6.747587,0,0,1,5.509388,45.52993,0.7097,5.497168
1997,"""ALBANY, NY""","""CHICAGO, IL""",4,724,233,243,0.4604,6.584791,0,0,0,5.493062,43.35947,0.4604,5.451038
1998,"""ALBANY, NY""","""CHICAGO, IL""",4,724,248,226,0.4614,6.584791,1,0,0,5.420535,43.35947,0.4614,5.513429
1999,"""ALBANY, NY""","""CHICAGO, IL""",4,724,224,229,0.4334,6.584791,0,1,0,5.433722,43.35947,0.4334,5.411646
2000,"""ALBANY, NY""","""CHICAGO, IL""",4,724,339,176,0.3716,6.584791,0,0,1,5.170484,43.35947,0.3716,5.826
1997,"""ALBANY, NY""","""ORLANDO, FL""",5,1073,396,119,0.4571,6.978214,0,0,0,4.779123,48.69547,0.4571,5.981414
1998,"""ALBANY, NY""","""ORLANDO, FL""",5,1073,529,105,0.5632,6.978214,1,0,0,4.65396,48.69547,0.5632,6.270988
1999,"""ALBANY, NY""","""ORLANDO, FL""",5,1073,494,121,0.5008,6.978214,0,1,0,4.795791,48.69547,0.5008,6.202536
2000,"""ALBANY, NY""","""ORLANDO, FL""",5,1073,710,109,0.5197,6.978214,0,0,1,4.691348,48.69547,0.5197,6.565265
1997,"""ALBANY, NY""","""WASHINGTON, DC""",6,318,237,181,0.91,5.762052,0,0,0,5.198497,33.20124,0.91,5.46806
1998,"""ALBANY, NY""","""WASHINGTON, DC""",6,318,213,197,0.9068,5.762052,1,0,0,5.283204,33.20124,0.9068,5.361292
1999,"""ALBANY, NY""","""WASHINGTON, DC""",6,318,209,190,0.9286,5.762052,0,1,0,5.247024,33.20124,0.9286,5.342334
2000,"""ALBANY, NY""","""WASHINGTON, DC""",6,318,163,171,0.9693,5.762052,0,0,1,5.141664,33.20124,0.9693,5.09375
1997,"""ALBUQUERQUE, NM""","""ATLANTA, GA""",7,1270,168,200,0.6695,7.146772,0,0,0,5.298317,51.07635,0.6695,5.123964
1998,"""ALBUQUERQUE, NM""","""ATLANTA, GA""",7,1270,185,218,0.7082,7.146772,1,0,0,5.384495,51.07635,0.7082,5.220356
1999,"""ALBUQUERQUE, NM""","""ATLANTA, GA""",7,1270,178,229,0.6714,7.146772,0,1,0,5.433722,51.07635,0.6714,5.181784
2000,"""ALBUQUERQUE, NM""","""ATLANTA, GA""",7,1270,197,220,0.6231,7.146772,0,0,1,5.393628,51.07635,0.6231,5.283204
1997,"""ALBUQUERQUE, NM""","""AUSTIN, TX""",8,614,173,134,0.5979,6.419995,0,0,0,4.89784,41.21634,0.5979,5.153292
1998,"""ALBUQUERQUE, NM""","""AUSTIN, TX""",8,614,157,153,0.635,6.419995,1,0,0,5.030438,41.21634,0.635,5.056246
1999,"""ALBUQUERQUE, NM""","""AUSTIN, TX""",8,614,176,145,0.5599,6.419995,0,1,0,4.976734,41.21634,0.5599,5.170484
2000,"""ALBUQUERQUE, NM""","""AUSTIN, TX""",8,614,192,161,0.642,6.419995,0,0,1,5.081404,41.21634,0.642,5.257495
1997,"""ALBUQUERQUE, NM""","""BALTIMORE, MD""",9,1673,200,149,0.2013,7.422374,0,0,0,5.003946,55.09163,0.2013,5.298317
1998,"""ALBUQUERQUE, NM""","""BALTIMORE, MD""",9,1673,194,155,0.2064,7.422374,1,0,0,5.043425,55.09163,0.2064,5.267858
1999,"""ALBUQUERQUE, NM""","""BALTIMORE, MD""",9,1673,214,162,0.2197,7.422374,0,1,0,5.087596,55.09163,0.2197,5.365976
2000,"""ALBUQUERQUE, NM""","""BALTIMORE, MD""",9,1673,310,152,0.2847,7.422374,0,0,1,5.02388,55.09163,0.2847,5.736572
1997,"""ALBUQUERQUE, NM""","""BOSTON, MA""",10,1976,171,271,0.2443,7.58883,0,0,0,5.602119,57.59034,0.2443,5.141664
